"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000255203",24.4720866254497,-0.915986173379073,0.297249204621287,-3.08154289107718,0.00205930806097207,0.577399011259552
"ENSG00000272529",56.7159343985369,-0.727872249826797,0.236792813202859,-3.07387812992125,0.00211295728596927,0.577399011259552
"ENSG00000180815",302.858469569758,-0.623510104152476,0.203450769088373,-3.06467312434509,0.002179080153281,0.58076521418556
"ENSG00000219102",29.6739670038519,-1.54901517242544,0.505206347973056,-3.06610393681763,0.0021686791354845,0.58076521418556
"ENSG00000229794",75.1990145600332,1.14184887188293,0.373849966965312,3.05429710520445,0.00225588549090056,0.593903121677575
"ENSG00000261375",34.9237203156986,-1.44920962643951,0.476186962772031,-3.0433626699967,0.00233950195270108,0.608496001866396
"ENSG00000091651",76.7514007245351,0.996690997805047,0.328221151428828,3.03664463263932,0.00239227308880731,0.611962184046933
"ENSG00000129596",81.1578018558469,0.79057451975703,0.260834056251054,3.0309482247828,0.00243787047563629,0.611962184046933
"ENSG00000263470",40.0811920175887,1.01441497527837,0.334586053129895,3.03185074748035,0.00243059352909872,0.611962184046933
"ENSG00000172061",19.0896032563997,-1.43589197262899,0.477118624293215,-3.00950727873192,0.0026167180874914,0.649307012330623
"ENSG00000120158",356.213213411283,-0.461331744117197,0.154263159588985,-2.99055033843698,0.00278475226446577,0.657685070165782
"ENSG00000154309",191.997355153213,-0.376273200502717,0.125937861055334,-2.9877687087078,0.00281022136937239,0.657685070165782
"ENSG00000156968",337.784851458878,0.74998308170823,0.251503551877271,2.98199797223622,0.00286373895662329,0.657685070165782
"ENSG00000170903",281.070534743508,-0.435153345131943,0.145134904314238,-2.99826804026255,0.00271518757318517,0.657685070165782
"ENSG00000196482",1172.63658559106,0.708799378622434,0.237654396987496,2.98247954848371,0.00285923750789533,0.657685070165782
"ENSG00000259032",36.0739292620482,-1.13619351396981,0.38013063133853,-2.98895542821426,0.00279932964522093,0.657685070165782
"ENSG00000259994",186.206584637234,0.506328671624734,0.169590248916183,2.98560014423339,0.00283022450340137,0.657685070165782
"ENSG00000030110",23.1601687731542,-1.00400484074544,0.337900165162511,-2.97130615565864,0.00296536006307866,0.659960753007651
"ENSG00000116761",67.9792197630353,0.786449461082003,0.264373059225692,2.97477157235836,0.00293206794447493,0.659960753007651
"ENSG00000134256",28.950926549819,-1.58340420492162,0.532454537613811,-2.97378291115261,0.00294153102646721,0.659960753007651
"ENSG00000261191",27.0062027669318,0.80672094824049,0.271869578599161,2.96730863525522,0.00300419227849882,0.661780641920739
"ENSG00000110218",454.504121650401,-1.03705995995051,0.351493542904106,-2.95043815423216,0.00317323566632479,0.666774642482264
"ENSG00000180611",83.9341284754677,0.438622996434395,0.148537227996843,2.95294992608666,0.00314753015229357,0.666774642482264
"ENSG00000228264",29.3299676343072,1.15491821721506,0.391940422265197,2.94666778828341,0.00321218097175076,0.666774642482264
"ENSG00000255185",118.145306445251,0.575380237364376,0.195257656420989,2.94677426693997,0.0032110751698201,0.666774642482264
"ENSG00000259617",17.9648896369473,1.02989038080812,0.347883056536256,2.96044996000196,0.00307190020463149,0.666774642482264
"ENSG00000270681",28.4722261920063,0.863967731455569,0.292901908222147,2.94968283648157,0.00318100293740013,0.666774642482264
"ENSG00000236732",21.0973817220876,1.25288597174931,0.425651722781375,2.94345330864037,0.00324572778603637,0.667321632809078
"ENSG00000165731",80.5915675766968,-0.529681746281253,0.180363677675603,-2.93674288031497,0.00331678977988477,0.675498658190117
"ENSG00000222939",67.8822821844824,1.11820811981818,0.381391080708827,2.93191995402713,0.00336873562453013,0.679666024881836
"ENSG00000135778",857.974782710368,-0.345321798330068,0.118146138986426,-2.92283608497559,0.00346859062375632,0.69333272579307
"ENSG00000133020",1146.07200465366,0.997562515374209,0.342655657059555,2.9112681924899,0.00359964896482168,0.693832337969378
"ENSG00000139780",53.1175300415628,1.26803431393055,0.434641726631304,2.91742425136782,0.003529353619265,0.693832337969378
"ENSG00000166165",83.9684694117054,1.58302533564014,0.543354875927093,2.91342804817776,0.00357484208561972,0.693832337969378
"ENSG00000182541",165.528783992695,0.482185234330816,0.165309231982053,2.91686815400102,0.00353565192810505,0.693832337969378
"ENSG00000246560",60.5534843775188,-0.559328328891583,0.192557617617671,-2.90473228642736,0.00367567345191388,0.702216269733777
"ENSG00000261728",21.0395058311087,1.01076303622214,0.34908749871313,2.89544323399777,0.00378623502729747,0.716993348853489
"ENSG00000095203",183.013152943414,0.716682689845186,0.2479025499859,2.89098555011213,0.00384035777609095,0.718642339414879
"ENSG00000138411",215.612044817727,-0.543660733505422,0.188166210826181,-2.88925801884606,0.00386152081582944,0.718642339414879
"ENSG00000270225",132.458038708882,-1.12108191493718,0.389445453139768,-2.87866222573365,0.00399365820497994,0.736881139565016
"ENSG00000075914",197.459592353159,0.507371944953358,0.176497690831369,2.87466619287453,0.00404454850642542,0.739946721667051
"ENSG00000213865",119.399707865231,0.492257848477056,0.171491309817703,2.87045360491053,0.00409883341594998,0.743576603222925
"ENSG00000227258",34.6397914516835,-1.07345360573752,0.374592167570493,-2.86565950564225,0.00416141571569419,0.748638687253385
"ENSG00000101825",257.634679207981,-0.654025894592439,0.228492334116339,-2.86235377270659,0.00420507248735448,0.750240536008336
"ENSG00000046604",134.197044099992,0.592896013410194,0.208929830244196,2.83777578681426,0.00454290820383567,0.763173590588154
"ENSG00000118523",93.4278934235044,0.731655215070479,0.258182694142039,2.83386621826775,0.00459885801465837,0.763173590588154
"ENSG00000120162",375.672671728078,0.460886628369193,0.162551368975258,2.83532911026634,0.00457784991855967,0.763173590588154
"ENSG00000125534",180.494244041052,1.71219545257123,0.604666889307085,2.83163421521776,0.00463107932031908,0.763173590588154
"ENSG00000144810",173.418431727276,0.512624741443608,0.180404438160429,2.84153065562469,0.00448975352057982,0.763173590588154
"ENSG00000150722",181.052005882881,0.69790056537131,0.24547741877255,2.84303366420012,0.00446863501979749,0.763173590588154
"ENSG00000177181",108.162137477965,0.637266017866836,0.22430986592909,2.84100752870268,0.00449712506925384,0.763173590588154
"ENSG00000196345",143.294117395821,0.497240042308066,0.175464511017199,2.83384964529567,0.00459909651284768,0.763173590588154
"ENSG00000250017",28.9871691057195,1.10943881780515,0.390513060774989,2.84097749663847,0.00449754859331025,0.763173590588154
"ENSG00000264057",63.9572783548404,0.87086408098657,0.307462597346414,2.83242283289951,0.00461967151621615,0.763173590588154
"ENSG00000166780",343.30339764654,0.422105385564555,0.149370332668506,2.82589840983565,0.00471482145672925,0.771087618241448
"ENSG00000236007",21.0106897433774,-0.944335301614908,0.334677526807343,-2.82162746517042,0.00477806453573668,0.775555317274312
